vessel_client,customer,date_plugged,time_plugged,container_number,operation_type,shipping_line,plugged_status,tonnage,set_point,date_out,location,days_on_plug,plugin_price,monitoring_price,electricity_unit_price,total_electricity,total
IOT,IOT EXPORT,2023-12-13,12:49:00.000000000,CGMU9337150,CCCS Stuffing and Plugin,CMA CGM,Full,25.688,-25,2024-01-03,LML,22,25.0,30.0,70.0,1540.0,1595.0
IOT,IOT EXPORT,2023-12-13,14:35:00.000000000,TEMU9878672,CCCS Stuffing and Plugin,CMA CGM,Full,25.543,-25,2024-01-03,LML,22,25.0,30.0,70.0,1540.0,1595.0
IOT,IOT EXPORT,2023-12-14,15:00:00.000000000,CGMU5503464,CCCS Stuffing and Plugin,CMA CGM,Full,25.846,-25,2024-01-03,LML,21,25.0,30.0,70.0,1470.0,1525.0
IOT,IOT EXPORT,2023-12-14,10:26:00.000000000,CGMU5505929,CCCS Stuffing and Plugin,CMA CGM,Full,25.893,-25,2024-01-04,LML,22,25.0,30.0,70.0,1540.0,1595.0
IOT,IOT EXPORT,2023-12-14,16:55:00.000000000,CGMU9312297,CCCS Stuffing and Plugin,CMA CGM,Full,26.094,-25,2024-01-03,LML,21,25.0,30.0,70.0,1470.0,1525.0
IOT,IOT EXPORT,2023-12-14,10:56:00.000000000,SEGU9651445,CCCS Stuffing and Plugin,CMA CGM,Full,25.596,-25,2024-01-04,LML,22,25.0,30.0,70.0,1540.0,1595.0
IOT,IOT EXPORT,2023-12-14,13:55:00.000000000,TTNU8879785,CCCS Stuffing and Plugin,CMA CGM,Full,25.602,-25,2024-01-03,LML,21,25.0,30.0,70.0,1470.0,1525.0
IOT,IOT EXPORT,2023-12-15,10:00:00.000000000,CGMU5232423,CCCS Stuffing and Plugin,CMA CGM,Full,25.796,-25,2024-01-04,LML,21,25.0,30.0,70.0,1470.0,1525.0
IOT,IOT EXPORT,2023-12-15,16:00:00.000000000,TEMU9235249,CCCS Stuffing and Plugin,CMA CGM,Full,25.69,-25,2024-01-03,LML,20,25.0,30.0,70.0,1400.0,1455.0
IOT,IOT EXPORT,2023-12-15,13:15:00.000000000,TEMU9421201,CCCS Stuffing and Plugin,CMA CGM,Full,25.846,-25,2024-01-04,LML,21,25.0,30.0,70.0,1470.0,1525.0
IOT,IOT EXPORT,2023-12-16,11:25:00.000000000,SEGU9291483,CCCS Stuffing and Plugin,CMA CGM,Full,26.169,-25,2024-01-03,LML,19,25.0,30.0,70.0,1330.0,1385.0
IOT,IOT EXPORT,2023-12-16,12:26:00.000000000,SEGU9509385,CCCS Stuffing and Plugin,CMA CGM,Full,25.9,-25,2024-01-03,LML,19,25.0,30.0,70.0,1330.0,1385.0
IOT,IOT EXPORT,2023-12-16,16:40:00.000000000,TEMU9878081,CCCS Stuffing and Plugin,CMA CGM,Full,25.769,-25,2024-01-03,LML,19,25.0,30.0,70.0,1330.0,1385.0
IOT,IOT EXPORT,2023-12-16,15:00:00.000000000,TRIU8667986,CCCS Stuffing and Plugin,CMA CGM,Full,26.007,-25,2024-01-03,LML,19,25.0,30.0,70.0,1330.0,1385.0
ISLAND CATCH,ISLAND CATCH,2023-12-17,17:01:00.000000000,CGMU9380780,CCCS Stuffing and Plugin,CMA CGM,Full,28.313,-25,2024-01-04,LML,19,25.0,30.0,70.0,1330.0,1385.0
IOT,IOT EXPORT,2023-12-17,10:47:00.000000000,TTNU8235817,CCCS Stuffing and Plugin,CMA CGM,Completed,9.167,-25,2024-01-04,LML,19,25.0,30.0,70.0,1330.0,1385.0
DRACO,ISABELLA FISHING,2023-12-18,15:45:00.000000000,SZLU9059091,Stuffing and Plugin,CMA CGM,Full,24.96,-25,2024-01-03,LML,17,25.0,30.0,70.0,1190.0,1245.0
ISLAND CATCH,ISLAND CATCH,2023-12-19,16:58:00.000000000,TTNU8308575,CCCS Stuffing and Plugin,CMA CGM,Full,27.58,-25,2024-01-04,LML,17,25.0,30.0,70.0,1190.0,1245.0
DRACO,ISABELLA FISHING,2023-12-19,13:31:00.000000000,CGMU5441552,Stuffing and Plugin,CMA CGM,Completed,19.29,-25,2024-01-04,LML,17,25.0,30.0,70.0,1190.0,1245.0
DRACO,ISABELLA FISHING,2023-12-19,17:15:00.000000000,TCLU1023858,Stuffing and Plugin,CMA CGM,Full,24.97,-25,2024-01-04,LML,17,25.0,30.0,70.0,1190.0,1245.0
OCEAN BASKET,MAERSKLINE,2023-12-20,16:34:00.000000000,SUDU8070615,CCCS Stuffing - Basic OSS,MAERSKLINE,Full,28.152,-25,2024-01-09,LML,21,25.0,30.0,70.0,1470.0,1525.0
ISLAND CATCH,ISLAND CATCH,2023-12-20,14:01:00.000000000,CGMU5328715,CCCS Stuffing and Plugin,CMA CGM,Full,28.061,-25,2024-01-04,LML,16,25.0,30.0,70.0,1120.0,1175.0
ISLAND CATCH,ISLAND CATCH,2023-12-20,15:04:00.000000000,TTNU8009656,CCCS Stuffing and Plugin,CMA CGM,Full,28.331,-25,2024-01-03,LML,15,25.0,30.0,70.0,1050.0,1105.0
ISLAND CATCH,ISLAND CATCH,2023-12-20,12:45:00.000000000,TTNU8062115,CCCS Stuffing and Plugin,CMA CGM,Full,28.321,-25,2024-01-04,LML,16,25.0,30.0,70.0,1120.0,1175.0
OCEAN BASKET,MAERSKLINE,2023-12-21,11:53:00.000000000,SUDU5244040,CCCS Stuffing - Basic OSS,MAERSKLINE,Full,28.697,-25,2024-01-09,LML,20,25.0,30.0,70.0,1400.0,1455.0
ATERPE ALAI,MAERSKLINE,2023-12-21,16:35:00.000000000,MSFU0002546,Full OSS,MAERSKLINE,Partial,7.04,-60,2024-01-03,For Completion,13,25.0,0.0,110.0,1430.0,1455.0
OCEAN BASKET,MAERSKLINE,2023-12-23,16:16:00.000000000,SUDU8080629,CCCS Stuffing - Basic OSS,MAERSKLINE,Completed,9.352,-25,2024-01-09,LML,18,25.0,30.0,70.0,1260.0,1315.0
OCEAN BASKET,MAERSKLINE,2023-12-23,14:56:00.000000000,SUDU8206830,CCCS Stuffing - Basic OSS,MAERSKLINE,Completed,8.972,-25,2024-01-09,LML,18,25.0,30.0,70.0,1260.0,1315.0
PLAYA DE ANZORAS,IOT,2023-12-27,14:36:00.000000000,TCLU1217149,Plugin,IOT,Full,26.29,-25,2024-01-15,IOT,20,25.0,30.0,70.0,1400.0,1455.0
PLAYA DE AZKORRI,IOT,2023-12-27,15:10:00.000000000,TCLU1228570,Plugin,IOT,Full,25.69,-25,2024-01-26,IOT,31,25.0,30.0,70.0,2170.0,2225.0
PLAYA DE AZKORRI,IOT,2023-12-27,15:17:00.000000000,TRIU8011175,Plugin,IOT,Full,25.58,-25,2024-01-26,IOT,31,25.0,30.0,70.0,2170.0,2225.0
PLAYA DE AZKORRI,IOT,2023-12-27,17:26:00.000000000,TRIU8030806,Plugin,IOT,Full,25.75,-25,2024-01-08,Unload Container to CCCS,13,25.0,30.0,70.0,910.0,965.0
PLAYA DE ANZORAS,IOT,2023-12-27,11:45:00.000000000,TRIU8881637,Plugin,IOT,Full,26.51,-25,2024-01-15,IOT,20,25.0,30.0,70.0,1400.0,1455.0
PLAYA DE ANZORAS,IOT,2023-12-27,18:04:00.000000000,TTNU8057021,Plugin,IOT,Full,26.44,-25,2024-01-08,Unload Container to CCCS,13,25.0,30.0,70.0,910.0,965.0
PLAYA DE ANZORAS,IOT,2023-12-27,14:10:00.000000000,TTNU8192612,Plugin,IOT,Full,26.48,-25,2024-01-15,IOT,20,25.0,30.0,70.0,1400.0,1455.0
PLAYA DE AZKORRI,IOT,2023-12-27,12:35:00.000000000,TTNU8203086,Plugin,IOT,Full,26.48,-25,2024-01-26,IOT,31,25.0,30.0,70.0,2170.0,2225.0
PLAYA DE AZKORRI,IOT,2023-12-27,11:00:00.000000000,TTNU8203342,Plugin,IOT,Full,26.49,-25,2024-01-29,Fishing Port,34,25.0,30.0,70.0,2380.0,2435.0
PLAYA DE AZKORRI,IOT,2023-12-27,13:27:00.000000000,TTNU8203492,Plugin,IOT,Full,26.44,-25,2024-01-26,IOT,31,25.0,30.0,70.0,2170.0,2225.0
PLAYA DE AZKORRI,IOT,2023-12-27,10:45:00.000000000,TTNU8203548,Plugin,IOT,Full,25.61,-25,2024-02-05,IOT,41,25.0,30.0,70.0,2870.0,2925.0
PLAYA DE ANZORAS,IOT,2023-12-27,16:57:00.000000000,TTNU8204288,Plugin,IOT,Full,27.35,-25,2024-01-15,IOT,20,25.0,30.0,70.0,1400.0,1455.0
JAI ALAI,MAERSKLINE,2023-12-28,12:42:00.000000000,MMAU1120535,Full OSS,MAERSKLINE,Full,26.24,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
IZARO,MAERSKLINE,2023-12-28,15:48:00.000000000,MMAU1186893,Full OSS,MAERSKLINE,Full,25.93,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,17:06:00.000000000,MNBU0324343,Full OSS,MAERSKLINE,Full,26.29,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,10:09:00.000000000,MNBU0404650,Full OSS,MAERSKLINE,Full,26.09,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,13:37:00.000000000,MNBU0470693,Full OSS,MAERSKLINE,Full,26.17,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,15:47:00.000000000,MNBU3118449,Full OSS,MAERSKLINE,Full,26.09,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
IZARO,MAERSKLINE,2023-12-28,15:39:00.000000000,MNBU3319280,Full OSS,MAERSKLINE,Full,26.08,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,15:11:00.000000000,MNBU3790200,Full OSS,MAERSKLINE,Full,26.48,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,15:30:00.000000000,MNBU3790392,Full OSS,MAERSKLINE,Full,26.21,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,15:40:00.000000000,MNBU4156119,Full OSS,MAERSKLINE,Full,26.37,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
IZARO,MAERSKLINE,2023-12-28,15:17:00.000000000,MNBU4271426,Full OSS,MAERSKLINE,Full,25.98,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
IZARO,MAERSKLINE,2023-12-28,10:32:00.000000000,MNBU9065290,Full OSS,MAERSKLINE,Full,25.9,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,15:05:00.000000000,MNBU9070194,Full OSS,MAERSKLINE,Full,26.18,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
IZARO,MAERSKLINE,2023-12-28,17:00:00.000000000,MNBU9100004,Full OSS,MAERSKLINE,Full,25.99,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
JAI ALAI,MAERSKLINE,2023-12-28,16:52:00.000000000,SUDU6254974,Full OSS,MAERSKLINE,Full,26.11,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
IZARO,MAERSKLINE,2023-12-28,15:27:00.000000000,SUDU8109635,Full OSS,MAERSKLINE,Full,25.94,-25,2024-01-09,LML,13,25.0,30.0,70.0,910.0,965.0
PLAYA DE AZKORRI,IOT,2023-12-28,16:43:00.000000000,TCLU1265342,Plugin,IOT,Full,25.97,-25,2024-01-08,Unload Container to CCCS,12,25.0,30.0,70.0,840.0,895.0
PLAYA DE AZKORRI,IOT,2023-12-28,16:23:00.000000000,TRIU8880815,Plugin,IOT,Full,26.15,-25,2024-02-05,IOT,40,25.0,30.0,70.0,2800.0,2855.0
PLAYA DE AZKORRI,IOT,2023-12-28,17:21:00.000000000,TRIU8881935,Plugin,IOT,Partial,13.17,-25,2024-02-05,IOT,40,25.0,30.0,70.0,2800.0,2855.0
PLAYA DE ANZORAS,IOT,2023-12-28,14:18:00.000000000,TRIU8897567,Plugin,IOT,Partial,13.33,-25,2024-01-15,IOT,19,25.0,30.0,70.0,1330.0,1385.0
PLAYA DE ANZORAS,IOT,2023-12-28,10:21:00.000000000,TTNU8031834,Plugin,IOT,Full,26.18,-25,2024-01-08,Unload Container to CCCS,12,25.0,30.0,70.0,840.0,895.0
PLAYA DE AZKORRI,IOT,2023-12-28,17:29:00.000000000,TTNU8056787,Plugin,IOT,Partial,16.52,-25,2024-02-05,IOT,40,25.0,30.0,70.0,2800.0,2855.0
PLAYA DE ANZORAS,IOT,2023-12-28,16:32:00.000000000,TTNU8193049,Plugin,IOT,Full,26.49,-25,2024-01-15,IOT,19,25.0,30.0,70.0,1330.0,1385.0
PLAYA DE AZKORRI,IOT,2023-12-28,14:17:00.000000000,TTNU8202515,Plugin,IOT,Full,26.15,-25,2024-01-29,Fishing Port,33,25.0,30.0,70.0,2310.0,2365.0
PLAYA DE AZKORRI,IOT,2023-12-28,10:21:00.000000000,TTNU8203430,Plugin,IOT,Full,0.0,-25,2024-01-08,Unload Container to CCCS,12,25.0,30.0,70.0,840.0,895.0
PLAYA DE AZKORRI,IOT,2023-12-28,14:11:00.000000000,TTNU8203975,Plugin,IOT,Full,26.22,-25,2024-01-29,Fishing Port,33,25.0,30.0,70.0,2310.0,2365.0
IZARO,IOT,2023-12-28,14:15:00.000000000,TCLU1215531,Stuffing and Plugin,IOT,Full,26.99,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,14:02:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Full,26.69,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,14:10:00.000000000,TCLU1222417,Stuffing and Plugin,IOT,Full,26.88,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,14:07:00.000000000,TRIU8980882,Stuffing and Plugin,IOT,Full,27.18,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
