date,container_number,shipping_line,assigned_to,remarks,pallet_price,liner_price
2024-01-03,TCLU1225308,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TCLU1264583,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8054125,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8058692,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8203403,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8203825,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8203960,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8204610,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8204966,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-03,TTNU8336350,IOT,DRENNEC,Pallet,84.0,0.0
2024-01-04,TTNU8204170,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TCLU1221339,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TTNU8281643,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TTNU8202710,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TTNU8034880,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TTNU8338116,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TRIU8033045,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TTNU8204441,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,TRIU8068294,IOT,GLENAN,Pallet,84.0,0.0
2024-01-04,CGMU5414475,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-04,CGMU6526926,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-05,CGMU5157530,CMA CGM,ALPHA GOLD NO. 66,Liner & Pallet,80.0,15.0
2024-01-05,TLLU1032400,CMA CGM,ALPHA GOLD NO. 66,Liner & Pallet,80.0,15.0
2024-01-05,CGMU5547586,CMA CGM,ALPHA GOLD NO. 66,Liner & Pallet,80.0,15.0
2024-01-05,CGMU5523291,CMA CGM,GOLDEN FULL NO. 168,Liner & Pallet,80.0,15.0
2024-01-05,CGMU5110488,CMA CGM,GOLDEN FULL NO. 168,Liner & Pallet,80.0,15.0
2024-01-05,TEMU9844245,CMA CGM,GOLDEN FULL NO. 168,Liner & Pallet,80.0,15.0
2024-01-05,SZLU9833356,CMA CGM,SHUN HAO,Liner & Pallet,80.0,15.0
2024-01-05,CGMU5529936,CMA CGM,SHUN HAO,Liner & Pallet,80.0,15.0
2024-01-06,CGMU5563226,CMA CGM,ALPHA GOLD NO. 66,Liner & Pallet,80.0,15.0
2024-01-06,CGMU5121923,CMA CGM,GOLDEN FULL NO. 168,Liner & Pallet,80.0,15.0
2024-01-06,CGMU5565321,CMA CGM,NF SEA GLORY NO. 16,Liner & Pallet,80.0,15.0
2024-01-06,CGMU5141880,CMA CGM,NF SEA GLORY NO. 16,Liner & Pallet,80.0,15.0
2024-01-06,CGMU5522994,CMA CGM,NF SEA GLORY NO. 16,Liner & Pallet,80.0,15.0
2024-01-06,CGMU5116716,CMA CGM,NF SEA GLORY NO. 16,Liner & Pallet,80.0,15.0
2024-01-06,AMCU9313884,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-06,TEMU9045212,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-07,CGMU5114837,CMA CGM,NF SEA GLORY NO. 16,Liner & Pallet,80.0,15.0
2024-01-07,TCLU1148135,CMA CGM,NF SEA GLORY NO. 16,Liner & Pallet,80.0,15.0
2024-01-07,AMCU9344294,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-08,TTNU8204204,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-08,TTNU8204420,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-08,TCLU1059300,CMA CGM,HSIANG PERNG NO. 212,Liner & Pallet,80.0,15.0
2024-01-08,CGMU5558214,CMA CGM,HSIANG PERNG NO. 212,Liner & Pallet,80.0,15.0
2024-01-09,TTNU8031834,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-09,TRIU8031103,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-09,TTNU8203430,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-09,TRIU8030806,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-09,TCLU1265342,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-09,TTNU8057021,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-09,CGMU5571617,CMA CGM,HSIANG PERNG NO. 212,Liner & Pallet,80.0,15.0
2024-01-10,TTNU8204061,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-10,TTNU8203677,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-10,TTNU8203260,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-01-10,GESU9511496,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-10,TCLU1148351,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-15,CGMU5116378,CMA CGM,NF DAFA NO. 8,Liner & Pallet,80.0,15.0
2024-01-15,CGMU5124049,CMA CGM,NF DAFA NO. 8,Liner & Pallet,80.0,15.0
2024-01-15,SZLU9806160,CMA CGM,NF DAFA NO. 8,Liner & Pallet,80.0,15.0
2024-01-18,CGMU5118447,CMA CGM,FU KUO NO. 8,Liner & Pallet,80.0,15.0
2024-01-18,CGMU5146979,CMA CGM,FU KUO NO. 8,Liner & Pallet,80.0,15.0
2024-01-18,CGMU5576115,CMA CGM,FU KUO NO. 8,Liner & Pallet,80.0,15.0
2024-01-20,TRIU8561504,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-20,AMCU9343087,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-21,CGMU8012443,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-21,FBIU5208607,CMA CGM,IOT,Liner & Pallet,80.0,15.0
2024-01-23,CGMU5125467,CMA CGM,SHYANG CHYANG NO. 88,Liner & Pallet,80.0,15.0
2024-01-23,CGMU5112372,CMA CGM,SHYANG CHYANG NO. 88,Liner & Pallet,80.0,15.0
2024-01-24,TRIU8898310,IOT,IZARO,Pallet,84.0,0.0
2024-01-24,TRIU8897567,IOT,IZARO,Pallet,84.0,0.0
2024-01-24,CGMU5141576,CMA CGM,SHYANG CHYANG NO. 88,Liner & Pallet,80.0,15.0
2024-01-24,TEMU9264463,CMA CGM,SHYANG CHYANG NO. 88,Liner & Pallet,80.0,15.0
2024-01-24,CGMU5551689,CMA CGM,SHYANG CHYANG NO. 88,Liner & Pallet,80.0,15.0
2024-01-25,TCLU1265804,IOT,IZARO,Pallet,84.0,0.0
2024-01-25,TTNU8204478,IOT,IZARO,Pallet,84.0,0.0
2024-01-25,TTNU8203358,IOT,IZARO,Pallet,84.0,0.0
2024-01-25,TTNU8204903,IOT,IZARO,Pallet,84.0,0.0
2024-01-25,TTNU8056832,IOT,IZARO,Pallet,84.0,0.0
2024-01-25,TTNU8203105,IOT,IZARO,Pallet,84.0,0.0
2024-01-25,SZLU9818074,CMA CGM,SHYANG CHYANG NO. 88,Liner & Pallet,80.0,15.0
2024-01-25,CGMU5139603,CMA CGM,WOENFULL NO. 668,Liner & Pallet,80.0,15.0
2024-01-25,CGMU5528987,CMA CGM,WOENFULL NO. 668,Liner & Pallet,80.0,15.0
2024-01-25,SZLU9895506,CMA CGM,WOENFULL NO. 668,Liner & Pallet,80.0,15.0
2024-01-31,TTNU8187597,CMA CGM,OCEAN BASKET,Liner & Pallet,80.0,15.0
2024-02-04,SZLU9822794,CMA CGM,MERCURY,Liner & Pallet,80.0,15.0
2024-02-04,CGMU5130904,CMA CGM,MERCURY,Liner & Pallet,80.0,15.0
2024-02-04,CGMU5572402,CMA CGM,MERCURY,Liner & Pallet,80.0,15.0
2024-02-04,CGMU5518504,CMA CGM,MERCURY,Liner & Pallet,80.0,15.0
2024-02-04,SZLU9850862,CMA CGM,MERCURY,Liner & Pallet,80.0,15.0
2024-02-04,RJCU2019625,CMA CGM,MERCURY,Liner & Pallet,80.0,15.0
2024-02-05,CGMU5566159,CMA CGM,MERCURY,Liner & Pallet,80.0,15.0
2024-02-07,TTNU8203738,IOT,ALAKRANA,Pallet,84.0,0.0
2024-02-07,TCLU1223305,IOT,ALAKRANA,Pallet,84.0,0.0
2024-02-08,TTNU8203105,IOT,ALAKRANA,Pallet,84.0,0.0
2024-02-08,TCLU1263735,IOT,ALAKRANA,Pallet,84.0,0.0
2024-02-08,TCLU1215531,IOT,ALAKRANA,Pallet,84.0,0.0
2024-02-08,TRIU8980882,IOT,ALAKRANA,Pallet,84.0,0.0
2024-02-09,TTNU8204478,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-09,TTNU8204903,IOT,ALAKRANA,Pallet,84.0,0.0
2024-02-10,TTNU8034849,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TRIU8898310,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TTNU8203358,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TRIU8898265,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TTNU8016059,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TCLU1265804,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TRIU8897567,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TTNU8203527,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TCLU1228570,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TTNU8203492,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TRIU8011175,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-10,TTNU8202515,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-11,TTNU8339350,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-11,TTNU8203342,IOT,TXORI ARGI,Pallet,84.0,0.0
2024-02-14,TTNU8203825,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-02-14,TTNU8203960,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-02-14,TTNU8056787,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-02-14,TTNU8203975,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-02-16,TRIU8880815,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-02-16,TTNU8203548,IOT,ELAI ALAI,Pallet,84.0,0.0
2024-02-19,TTNU8203086,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TCLU1264583,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TTNU8203445,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TCLU1222417,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TTNU8076079,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TRIU8881637,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TTNU8204293,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TCLU1225308,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-19,TTNU8034108,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TCLU1216780,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8194786,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8336350,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8204924,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8193347,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8056832,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8203363,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TCLU1227912,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8192042,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-20,TTNU8338522,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-21,TCLU1221339,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-21,TTNU8281643,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-21,TRIU8068294,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-21,TTNU8054125,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-22,TTNU8204610,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-22,TTNU8058692,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-22,TTNU8204966,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-22,TTNU8034880,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-22,TTNU8204225,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-22,TTNU8193049,IOT,CAP SAINT VINCENT,Pallet,84.0,0.0
2024-02-26,CGMU5528246,CMA CGM,NF EASTERN STAR,Liner & Pallet,80.0,15.0
2024-02-26,CGMU5573179,CMA CGM,NF EASTERN STAR,Liner & Pallet,80.0,15.0
2024-02-26,TTNU8330732,CMA CGM,SHIN SHUEN FAR,Liner & Pallet,80.0,15.0
2024-02-26,TEMU9810543,CMA CGM,SHIN SHUEN FAR NO. 16,Liner & Pallet,80.0,15.0
2024-02-27,SEGU9483790,CMA CGM,SHIN SHUEN FAR NO. 388,Liner & Pallet,80.0,15.0
2024-02-27,CGMU9338898,CMA CGM,SHIN SHUEN FAR NO. 388,Liner & Pallet,80.0,15.0
2024-02-27,CGMU5221590,CMA CGM,SHIN SHUEN FAR NO. 889,Liner & Pallet,80.0,15.0
2024-02-27,CAIU5588286,CMA CGM,SHIN SHUEN FAR NO. 889,Liner & Pallet,80.0,15.0
2024-02-27,IKSU4009831,CMA CGM,SHIN SHUEN FAR NO. 668,Liner & Pallet,80.0,15.0
2024-02-27,BMOU9601025,CMA CGM,SHIN SHUEN FAR NO. 668,Liner & Pallet,80.0,15.0
2024-02-28,CGMU6932355,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-28,CGMU6905283,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-28,TLLU1069420,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-28,BMOU9622326,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-28,CRSU6158181,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-28,CGMU6927301,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-29,CGMU6919923,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-29,CGMU6909740,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-29,CGMU6900764,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-29,CGMU6912765,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-29,CGMU6919820,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-29,TLLU1046110,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-02-29,CGMU5330380,CMA CGM,IZURDIA,Liner & Pallet,80.0,15.0
2024-02-29,CGMU6943025,CMA CGM,IZURDIA,Liner & Pallet,80.0,15.0
2024-03-01,TTNU8501840,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-01,TTNU8292843,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-01,CGMU6900321,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-01,CGMU6921896,CMA CGM,IZURDIA,Liner & Pallet,80.0,15.0
2024-03-02,TTNU8634798,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-02,CGMU6909416,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-02,SEGU9944989,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-02,TTNU8074287,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-02,CGMU6925314,CMA CGM,DOLOMIEU,Pallet,80.0,0.0
2024-03-02,CGMU6935518,CMA CGM,IZURDIA,Liner & Pallet,80.0,15.0
2024-03-02,CAIU5558342,CMA CGM,IZURDIA,Liner & Pallet,80.0,15.0
2024-03-02,CGMU5336650,CMA CGM,ISLAND CATCH,Liner & Pallet,80.0,15.0
2024-03-03,CGMU6917392,CMA CGM,IZURDIA,Liner & Pallet,80.0,15.0
2024-03-12,TCLU1217149,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8202515,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8203358,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8204478,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8203614,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8016059,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8203430,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8071858,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TRIU8980882,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8204288,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TTNU8204170,IOT,GLENAN,Pallet,84.0,0.0
2024-03-12,TRIU8034740,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,TCLU1270400,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,SZLU9060370,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,SEGU9318310,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,CGMU5433177,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,TCLU1342243,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,CGMU5310510,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,CGMU6903911,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,CGMU5291283,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,TEMU9811200,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,TEMU9209893,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-12,TEMU9885692,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,TRIU8864476,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TRIU8897567,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TTNU8338116,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TTNU8203403,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TTNU8204014,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TTNU8202599,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TRIU8011175,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TCLU1221914,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,TTNU8203738,IOT,GLENAN,Pallet,84.0,0.0
2024-03-13,SEKU9145190,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,SEKU9005624,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,TRIU8687200,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,CXRU1550835,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,TTNU8697137,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,TRIU8675533,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,BMOU9802312,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,CGMU5335674,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,CGMU9361814,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,SZLU9606537,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,CAIU5694138,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,CGMU5233369,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,CGMU5624050,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-13,TCLU1214047,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
2024-03-14,TRIU8030072,IOT,GLENAN,Pallet,84.0,0.0
2024-03-14,CGMU6520960,CMA CGM,PACIFIC STAR,Liner & Pallet,80.0,15.0
