date,container_number,invoice_to,service_remarks,price
03/01/2024,SUDU6106112,ECHEBASTAR,Unstuffed at CCCS,30
03/01/2024,TTNU8054125,IOT,Clean,30
04/01/2024,MMAU1082543,MAERSKLINE,Clean,30
04/01/2024,MMAU1128460,MAERSKLINE,Clean,30
04/01/2024,MNBU3645352,MAERSKLINE,Clean,30
04/01/2024,MNBU3656948,MAERSKLINE,Clean,30
04/01/2024,MNBU4208001,MAERSKLINE,Added based on Unwashed List Report,30
04/01/2024,SUDU6078561,MAERSKLINE,Clean,30
04/01/2024,SUDU8016682,MAERSKLINE,Cross Stuffed,30
04/01/2024,TRIU8033045,IOT,Clean,30
04/01/2024,TRIU8068294,IOT,Clean,30
04/01/2024,TTNU8204420,IOT,Clean,30
04/01/2024,TTNU8204441,IOT,Clean,30
05/01/2024,MMAU1165376,MAERSKLINE,Added based on Unwashed List Report,30
05/01/2024,MMAU1188052,MAERSKLINE,Clean,30
05/01/2024,MNBU0551624,MAERSKLINE,Clean,30
05/01/2024,MNBU0642642,MAERSKLINE,Clean,30
05/01/2024,MNBU4292970,MAERSKLINE,Clean,30
05/01/2024,MWCU5313106,MAERSKLINE,Clean,30
05/01/2024,MWCU6965182,MAERSKLINE,Added based on Unwashed List Report,30
05/01/2024,SUDU6082828,MAERSKLINE,Added based on Unwashed List Report,30
05/01/2024,SUDU8169064,MAERSKLINE,Clean,30
05/01/2024,TEMU9756191,MAERSKLINE,Clean,30
06/01/2024,MMAU1389972,MAERSKLINE,Clean,30
06/01/2024,MNBU3591868,SAPMER,Unstuffed at CCCS,30
06/01/2024,MNBU4051951,SAPMER,Unstuffed at CCCS,30
06/01/2024,MNBU4201413,MAERSKLINE,Clean,30
06/01/2024,SUDU8164041,SAPMER,Unstuffed at CCCS,30
06/01/2024,SUDU8165310,SAPMER,Unstuffed at CCCS,30
06/01/2024,SUDU9312035,MAERSKLINE,Clean,30
07/01/2024,MMAU1062892,MAERSKLINE,Added based on Unwashed List Report,30
07/01/2024,MNBU0438053,MAERSKLINE,Clean,30
07/01/2024,MNBU3028155,MAERSKLINE,Clean,30
07/01/2024,MNBU3239461,MAERSKLINE,Clean,30
